,Слово,"Частота встречи,раз",Частота встречи в %
1149,положение,145,0.03
1150,старикам,3,0.0
1151,мрачным,10,0.0
1152,молодым,31,0.01
1153,казалось,336,0.06
1154,сами,88,0.02
1155,делаются,8,0.0
1156,похожи,6,0.0
1157,побыв,1,0.0
1158,поговорив,10,0.0
1159,времени,239,0.05
1160,видел,284,0.05
1161,каждом,38,0.01
1162,светлую,4,0.0
1163,улыбочку,1,0.0
1164,блестящие,20,0.0
1165,белые,25,0.0
1166,зубы,31,0.01
1167,виднелись,36,0.01
1168,беспрестанно,79,0.02
1169,тот,310,0.06
1170,думал,337,0.06
1171,любезен,7,0.0
1172,переваливаясь,7,0.0
1173,маленькими,14,0.0
1174,быстрыми,41,0.01
1175,шажками,2,0.0
1176,обошла,2,0.0
1177,стол,57,0.01
1178,рабочею,1,0.0
1179,сумочкой,1,0.0
1180,руке,61,0.01
1181,оправляя,5,0.0
1182,села,48,0.01
1183,диван,31,0.01
1184,серебряного,1,0.0
1185,самовара,3,0.0
1186,делала,33,0.01
1187,окружавших,8,0.0
1188,развертывая,6,0.0
1189,свой,186,0.04
1190,ридикюль,7,0.0
1191,обращаясь,117,0.02
1192,ко,118,0.02
1193,смотрите,21,0.0
1194,тетушку,2,0.0
1195,увеселением,1,0.0
1196,захватила,4,0.0
1197,работу,31,0.01
1198,обратилась,48,0.01
1199,хозяйке,1,0.0
1200,развела,1,0.0
1201,руками,146,0.03
1202,показать,35,0.01
1203,кружевах,2,0.0
1204,серенькое,2,0.0
1205,изящное,1,0.0
1206,немного,54,0.01
1207,ниже,16,0.0
1208,грудей,1,0.0
1209,опоясанное,1,0.0
1210,широкою,3,0.0
1211,лентой,4,0.0
1212,отвечала,79,0.02
1213,генералу,53,0.01
1214,василию,8,0.0
1215,дожидаясь,22,0.0
1216,дочери,73,0.01
1217,красивой,13,0.0
1218,тихо,93,0.02
1219,вскоре,27,0.01
1220,княгини,29,0.01
1221,вошел,147,0.03
1222,массивный,2,0.0
1223,толстый,32,0.01
1224,молодой,126,0.02
1225,стриженою,1,0.0
1226,головой,168,0.03
1227,очках,9,0.0
1228,светлых,2,0.0
1229,панталонах,7,0.0
1230,тогдашней,3,0.0
1231,моде,6,0.0
1232,высоким,11,0.0
1233,жабо,3,0.0
1234,коричневом,1,0.0
1235,фраке,10,0.0
1236,незаконный,8,0.0
1237,знаменитого,7,0.0
1238,екатерининского,3,0.0
1239,вельможи,12,0.0
1240,графа,196,0.04
1241,безухова,46,0.01
1242,умиравшего,1,0.0
1243,москве,228,0.04
1244,нигде,17,0.0
1245,служил,24,0.0
1246,границы,16,0.0
1247,где,497,0.1
1248,воспитывался,4,0.0
1249,обществе,38,0.01
1250,приветствовала,1,0.0
1251,поклоном,5,0.0
1252,относящимся,1,0.0
1253,самой,79,0.02
1254,низшей,1,0.0
1255,иерархии,2,0.0
1256,салоне,5,0.0
1257,низшее,1,0.0
1258,своему,172,0.03
1259,сорту,1,0.0
1260,приветствие,2,0.0
1261,вошедшего,4,0.0
1262,пьера,494,0.09
1263,изобразилось,1,0.0
1264,беспокойство,18,0.0
1265,страх,69,0.01
1266,подобный,3,0.0
1267,тому,332,0.06
1268,выражается,11,0.0
1269,чего,288,0.06
1270,нибудь,360,0.07
1271,огромного,22,0.0
1272,несвойственного,1,0.0
1273,месту,28,0.01
1274,действительно,98,0.02
1275,пьер,1505,0.29
1276,других,184,0.04
1277,мужчин,22,0.0
1278,комнате,143,0.03
1279,мог,473,0.09
1280,относиться,4,0.0
1281,умному,2,0.0
1282,робкому,1,0.0
1283,наблюдательному,1,0.0
1284,естественному,1,0.0
1285,взгляду,6,0.0
1286,отличавшему,1,0.0
1287,гостиной,94,0.02
1288,испуганно,66,0.01
1289,сыграйте,2,0.0
1290,злой,12,0.0
1291,шутки,16,0.0
1292,писали,10,0.0
1293,совсем,204,0.04
1294,маленький,50,0.01
1295,видите,52,0.01
1296,укутана,2,0.0
1297,будьте,11,0.0
1298,покойны,4,0.0
1299,лиза,14,0.0
1300,таки,122,0.02
1301,будете,30,0.01
1302,муж,41,0.01
1303,покидает,2,0.0
1304,идет,74,0.01
1305,смерть,67,0.01
1306,эта,247,0.05
1307,гадкая,2,0.0
1308,особа,4,0.0
1309,мило,12,0.0
1310,вашей,24,0.0
1311,стороны,158,0.03
1312,мосье,11,0.0
1313,приехали,36,0.01
1314,навестить,2,0.0
1315,бедную,7,0.0
1316,больную,5,0.0
1317,переглядываясь,3,0.0
1318,которой,359,0.07
1319,пробурлил,3,0.0
1320,непонятное,10,0.0
1321,продолжал,177,0.03
1322,отыскивать,22,0.0
1323,глазами,242,0.05
1324,радостно,105,0.02
1325,улыбнулся,106,0.02
1326,кланяясь,11,0.0
1327,княгине,17,0.0
1328,близкой,2,0.0
1329,знакомой,7,0.0
1330,тетушке,4,0.0
1331,напрасен,1,0.0
1332,дослушав,8,0.0
1333,речи,62,0.01
1334,отошел,33,0.01
1335,остановила,7,0.0
1336,словами,69,0.01
1337,аббата,9,0.0
1338,интересный,4,0.0
1339,да,1016,0.2
1340,слышал,97,0.02
1341,план,62,0.01
1342,вечного,4,0.0
1343,интересно,20,0.0
1344,едва,67,0.01
1345,возможно,36,0.01
1346,думаете,45,0.01
1347,вновь,42,0.01
1348,обратиться,12,0.0
1349,занятиям,3,0.0
1350,хозяйки,10,0.0
1351,дома,199,0.04
1352,обратную,1,0.0
1353,неучтивость,1,0.0
1354,слов,604,0.12
1355,собеседницы,2,0.0
1356,ушел,32,0.01
1357,остановил,33,0.01
1358,разговором,15,0.0
1359,уйти,29,0.01
1360,нагнув,3,0.0
1361,голову,310,0.06
1362,расставив,8,0.0
1363,большие,47,0.01
1364,ноги,118,0.02
1365,стал,313,0.06
1366,доказывать,12,0.0
1367,полагал,16,0.0
1368,химера,1,0.0
1369,поговорим,14,0.0
1370,отделавшись,1,0.0
1371,молодого,71,0.01
1372,умеющего,2,0.0
1373,жить,72,0.01
1374,возвратилась,6,0.0
1375,прислушиваться,8,0.0
1376,приглядываться,1,0.0
1377,готовая,4,0.0
1378,подать,26,0.0
1379,помощь,25,0.0
1380,пункт,13,0.0
1381,ослабевал,2,0.0
1382,разговор,188,0.04
1383,хозяин,22,0.0
1384,прядильной,2,0.0
1385,мастерской,1,0.0
1386,посадив,4,0.0
1387,работников,1,0.0
1388,местам,11,0.0
1389,прохаживается,1,0.0
1390,заведению,2,0.0
1391,замечая,28,0.01
1392,неподвижность,3,0.0
1393,непривычный,2,0.0
1394,скрипящий,1,0.0
1395,громкий,7,0.0
1396,звук,55,0.01
1397,веретена,4,0.0
1398,торопливо,42,0.01
1399,сдерживает,2,0.0
1400,пускает,3,0.0
1401,надлежащий,1,0.0
1402,прохаживаясь,3,0.0
1403,подходила,6,0.0
1404,замолкнувшему,1,0.0
1405,говорившему,2,0.0
1406,кружку,11,0.0
1407,словом,30,0.01
1408,перемещением,1,0.0
1409,заводила,2,0.0
1410,равномерную,1,0.0
1411,приличную,1,0.0
1412,разговорную,2,0.0
1413,машину,2,0.0
1414,среди,29,0.01
1415,этих,341,0.07
1416,забот,4,0.0
1417,виден,12,0.0
1418,особенный,10,0.0
1419,заботливо,1,0.0
1420,поглядывала,2,0.0
1421,послушать,7,0.0
1422,говорилось,15,0.0
1423,мортемара,5,0.0
1424,другому,45,0.01
1425,воспитанного,1,0.0
1426,границей,15,0.0
1427,россии,122,0.02
1428,знал,321,0.06
1429,тут,248,0.05
1430,собрана,1,0.0
1431,интеллигенция,1,0.0
1432,ребенка,42,0.01
1433,игрушечной,1,0.0
1434,лавке,16,0.0
1435,разбегались,4,0.0
1436,боялся,55,0.01
1437,пропустить,11,0.0
1438,умные,9,0.0
1439,услыхать,2,0.0
1440,уверенные,2,0.0
1441,изящные,1,0.0
1442,выражения,41,0.01
1443,лиц,97,0.02
1444,собранных,4,0.0
1445,здесь,192,0.04
1446,ждал,33,0.01
1447,умного,4,0.0
1448,показался,33,0.01
1449,интересен,5,0.0
1450,остановился,154,0.03
1451,ожидая,92,0.02
1452,случая,17,0.0
1453,высказать,21,0.0
1454,мысли,142,0.03
1455,любят,19,0.0
1456,молодые,37,0.01
1457,пущен,2,0.0
1458,разных,72,0.01
1459,сторон,140,0.03
1460,равномерно,16,0.0
1461,умолкая,3,0.0
1462,шумели,1,0.0
1463,кроме,233,0.04
1464,сидела,89,0.02
1465,пожилая,7,0.0
1466,дама,23,0.0
1467,исплаканным,3,0.0
1468,худым,6,0.0
1469,лицом,155,0.03
1470,чужая,6,0.0
1471,блестящем,4,0.0
1472,общество,55,0.01
1473,разбилось,1,0.0
1474,три,173,0.03
1475,кружка,11,0.0
1476,мужском,6,0.0
1477,центром,7,0.0
1478,другом,73,0.01
1479,молодом,5,0.0
1480,румяная,7,0.0
1481,полная,16,0.0
1482,молодости,22,0.0
1483,третьем,11,0.0
1484,миловидный,1,0.0
1485,мягкими,4,0.0
1486,чертами,7,0.0
1487,приемами,6,0.0
1488,очевидно,229,0.04
1489,считавший,3,0.0
1490,знаменитостью,1,0.0
1491,благовоспитанности,1,0.0
1492,скромно,2,0.0
1493,предоставлявший,1,0.0
1494,находился,85,0.02
1495,угощала,1,0.0
1496,им,459,0.09
1497,гостей,66,0.01
1498,хороший,22,0.0
1499,метр,1,0.0
1500,д,69,0.01
1501,отель,1,0.0
1502,подает,5,0.0
1503,нечто,2,0.0
1504,сверхъестественно,5,0.0
1505,прекрасное,19,0.0
1506,кусок,8,0.0
1507,говядины,2,0.0
1508,захочется,2,0.0
1509,увидать,29,0.01
1510,грязной,10,0.0
1511,кухне,6,0.0
1512,сервировала,1,0.0
1513,сначала,71,0.01
1514,виконта,20,0.0
1515,утонченное,3,0.0
1516,кружке,13,0.0
1517,заговорили,17,0.0
1518,тотчас,186,0.04
1519,об,298,0.06
1520,убиении,2,0.0
1521,герцога,25,0.0
1522,энгиенского,7,0.0
1523,герцог,50,0.01
1524,энгиенский,6,0.0
1525,погиб,3,0.0
1526,великодушия,6,0.0
1527,особенные,6,0.0
1528,причины,83,0.02
1529,озлобления,5,0.0
1530,бонапарта,26,0.0
1531,радостью,20,0.0
1532,чувствуя,63,0.01
1533,отзывалась,1,0.0
1534,фраза,13,0.0
1535,поклонился,20,0.0
1536,покорности,5,0.0
1537,учтиво,19,0.0
1538,сделала,43,0.01
1539,круг,18,0.0
1540,пригласила,7,0.0
1541,слушать,34,0.01
1542,рассказ,34,0.01
1543,расскажите,9,0.0
1544,напоминающим,1,0.0
1545,лудовика,1,0.0
1546,лично,35,0.01
1547,знаком,12,0.0
1548,герцогом,5,0.0
1549,шепнула,2,0.0
1550,одному,69,0.01
1551,проговорила,54,0.01
1552,третьему,2,0.0
1553,подан,2,0.0
1554,самом,83,0.02
1555,изящном,1,0.0
1556,выгодном,3,0.0
1557,ростбиф,1,0.0
1558,горячем,2,0.0
1559,блюде,5,0.0
1560,посыпанный,1,0.0
1561,зеленью,4,0.0
1562,начать,20,0.0
1563,тонко,8,0.0
1564,переходите,1,0.0
1565,сюда,95,0.02
1566,красавице,3,0.0
1567,княжне,106,0.02
1568,поодаль,1,0.0
1569,составляя,3,0.0
1570,центр,15,0.0
1571,другого,100,0.02
1572,улыбалась,12,0.0
1573,поднялась,27,0.01
1574,тою,65,0.01
1575,неизменяющеюся,1,0.0
1576,женщины,87,0.02
1577,которою,55,0.01
1578,вошла,56,0.01
1579,гостиную,74,0.01
1580,слегка,65,0.01
1581,шумя,6,0.0
1582,белою,14,0.0
1583,бальною,1,0.0
1584,робой,1,0.0
1585,убранною,1,0.0
1586,плющем,1,0.0
1587,мохом,1,0.0
1588,блестя,10,0.0
1589,белизной,3,0.0
1590,плеч,9,0.0
1591,глянцем,1,0.0
1592,волос,29,0.01
1593,бриллиантов,1,0.0
1594,прошла,23,0.0
1595,расступившимися,1,0.0
1596,мужчинами,7,0.0
1597,прямо,147,0.03
1598,любезно,4,0.0
1599,предоставляя,11,0.0
1600,любоваться,6,0.0
1601,красотою,6,0.0
1602,стана,1,0.0
1603,полных,3,0.0
1604,открытой,2,0.0
1605,груди,47,0.01
1606,спины,8,0.0
1607,внося,3,0.0
1608,блеск,14,0.0
1609,бала,15,0.0
1610,подошла,66,0.01
1611,хороша,50,0.01
1612,заметно,26,0.0
1613,тени,30,0.01
1614,кокетства,2,0.0
1615,совестно,33,0.01
1616,несомненную,3,0.0
1617,сильно,30,0.01
1618,победительно,1,0.0
1619,действующую,5,0.0
1620,красоту,8,0.0
1621,желала,38,0.01
1622,умалить,2,0.0
1623,действие,59,0.01
1624,красоты,8,0.0
1625,пораженный,3,0.0
1626,необычайным,1,0.0
1627,пожал,31,0.01
1628,плечами,63,0.01
1629,опустил,31,0.01
1630,усаживалась,3,0.0
1631,пред,64,0.01
1632,освещала,1,0.0
1633,неизменною,2,0.0
1634,наклоняя,6,0.0
1635,облокотила,1,0.0
1636,открытую,3,0.0
1637,столик,8,0.0
1638,нашла,14,0.0
1639,либо,31,0.01
1640,рассказа,25,0.0
1641,посматривая,2,0.0
1642,изредка,74,0.01
1643,красивую,12,0.0
1644,лежавшую,11,0.0
1645,столе,31,0.01
1646,грудь,45,0.01
1647,поправляла,3,0.0
1648,удивительный,5,0.0
1649,мастер,12,0.0
1650,рассказывать,46,0.01
1651,хорошего,20,0.0
1652,опасаюсь,1,0.0
1653,уменье,5,0.0
1654,перед,425,0.08
1655,публикой,2,0.0
1656,бриллиантовое,1,0.0
1657,ожерелье,2,0.0
1658,складки,11,0.0
1659,платья,31,0.01
1660,производил,3,0.0
1661,впечатление,41,0.01
1662,оглядывалась,12,0.0
1663,анну,21,0.0
1664,павловну,6,0.0
1665,принимала,8,0.0
1666,фрейлины,2,0.0
1667,успокоивалась,2,0.0
1668,сияющей,1,0.0
1669,улыбке,11,0.0
1670,вслед,58,0.01
1671,перешла,12,0.0
1672,чайного,5,0.0
1673,стола,64,0.01
1674,ипполиту,6,0.0
